,次数中心性,媒介中心性,PageRank
280,0.0,0.0,0.0001122082585418489
281,0.0,0.0,0.0001122082585418489
282,0.0066711140760507,0.008732799945952547,0.0016948501832595032
283,0.00333555703802535,0.0012188327882618297,0.0009020004204973309
284,0.00066711140760507,0.00021644195475408506,0.00029721681427938583
285,0.0,0.0,0.0001122082585418489
286,0.00066711140760507,0.00018078004296895214,0.0001565704714283394
287,0.00333555703802535,0.001299387920800406,0.001032914589921781
288,0.00200133422281521,0.0003801160919873907,0.0004867998212647872
289,0.00533689126084056,0.0038832232007357283,0.0010945400636305797
290,0.0,0.0,0.0001122082585418489
291,0.00600400266844563,0.006670154287718321,0.0018347259936265696
292,0.00066711140760507,8.800993572296502e-05,0.00032733642760390927
293,0.00200133422281521,0.0004759114586080865,0.00046054715878591064
294,0.00133422281521014,0.0004442516234115165,0.00042188813625784245
295,0.00266844563042028,0.0006536433370364827,0.0005761047813090336
296,0.00600400266844563,0.0023995548567503455,0.0016679218186754288
297,0.00333555703802535,0.0019886420319630933,0.0010987422058093758
298,0.0,0.0,0.0001122082585418489
299,0.00133422281521014,0.0003663702817952227,0.0005028422431424785
300,0.00200133422281521,0.0007524663809538015,0.0005288660180810179
301,0.00133422281521014,6.478829364620439e-05,0.0004335132643523756
302,0.00266844563042028,0.0008708920585078461,0.0008401279115759888
303,0.00533689126084056,0.0033942887448293675,0.0012736246778438064
304,0.0,0.0,0.0001122082585418489
305,0.0,0.0,0.0001122082585418489
306,0.00266844563042028,0.0011526362246548556,0.0011039529560757995
307,0.00266844563042028,0.000796385108356361,0.0007390524787707607
308,0.00066711140760507,0.00017706106060395534,0.0004001311554628449
309,0.00066711140760507,1.9656250477059473e-05,0.00018946989071888962
310,0.00066711140760507,0.00011425922075509887,0.00037931666866884966
311,0.00133422281521014,6.342717896059993e-05,0.0005185951750887731
312,0.00533689126084056,0.0023205766147026165,0.001224245642031127
313,0.01067378252168112,0.010766338293175862,0.0022036145740570758
314,0.00400266844563042,0.002717254504428644,0.0006564636008916718
